name,iterations,factors,regularization,explicit_false,positive_only,precision@10,recall@10,hit_rate@10,ndcg@10,micro_precision@10,micro_recall@10,micro_f1@10,hits,n_users,n_test,type
factor55_reg005,15,55,0.005,True,True,0.04875,0.060917672683615275,0.35,0.06917506430214139,0.04875,0.05957836846929423,0.053622989137907334,195,400,3273,new_experiment
factor60_reg006,15,60,0.006,True,True,0.05225,0.06869505984912248,0.385,0.06968084202586516,0.05225,0.06385578979529484,0.05747284476832118,209,400,3273,new_experiment
factor65_reg005,15,65,0.005,True,True,0.04575,0.061316805281491804,0.365,0.06256393650689007,0.04575,0.05591200733272227,0.05032311288326688,183,400,3273,new_experiment
