name,iterations,factors,regularization,explicit_false,positive_only,precision@10,recall@10,hit_rate@10,ndcg@10,micro_precision@10,micro_recall@10,micro_f1@10,hits,n_users,n_test,type
A_small_factor_low_reg,15,20,0.001,True,True,0.0315,0.040893674179277896,0.245,0.04147673069944316,0.0315,0.0384967919340055,0.03464870067372473,126,400,3273,new_experiment
B_middle_factor,15,60,0.005,True,True,0.05125,0.06567330474019632,0.375,0.06806921758565537,0.05125,0.06263366941643751,0.056372886016774364,205,400,3273,new_experiment
C_factor80_reg0075,15,80,0.0075,True,True,0.04574999999999999,0.06023642265083744,0.3475,0.06439329557077877,0.04575,0.05591200733272227,0.05032311288326688,183,400,3273,new_experiment
D_factor80_reg01,15,80,0.01,True,True,0.0425,0.0577183575690735,0.3375,0.058677911867923344,0.0425,0.05194011610143599,0.04674824694073973,170,400,3273,new_experiment
E_factor100_reg01,15,100,0.01,True,True,0.04175000000000001,0.05276789973442451,0.31,0.05926778241981582,0.04175,0.051023525817293004,0.045923277877079616,167,400,3273,new_experiment
