name,factors,regularization,precision@10,recall@10,hit_rate@10,ndcg@10,micro_f1@10,hits,type,iterations,explicit_false,positive_only,micro_precision@10,micro_recall@10,n_users,n_test
REFERENCE_factor60_reg005,60,0.005,0.05125,0.065673,0.375,0.068069,0.056373,205,reference,,,,,,,
factor55_reg005,55,0.005,0.04875,0.060917672683615275,0.35,0.06917506430214139,0.053622989137907334,195,new_experiment,15.0,True,True,0.04875,0.05957836846929423,400.0,3273.0
factor60_reg006,60,0.006,0.05225,0.06869505984912248,0.385,0.06968084202586516,0.05747284476832118,209,new_experiment,15.0,True,True,0.05225,0.06385578979529484,400.0,3273.0
factor65_reg005,65,0.005,0.04575,0.061316805281491804,0.365,0.06256393650689007,0.05032311288326688,183,new_experiment,15.0,True,True,0.04575,0.05591200733272227,400.0,3273.0
