iterations,explicit_false,positive_only,factors,regularization,precision@10,recall@10,hit_rate@10,ndcg@10,micro_precision@10,micro_recall@10,micro_f1@10,hits,n_users,n_test
10,False,True,40,0.001,0.0285,0.037309552676425745,0.2125,0.04032398659041737,0.0285,0.034830430797433545,0.031348824419084285,114,400,3273
10,True,True,40,0.001,0.029249999999999998,0.038544749314582905,0.235,0.042820250133410925,0.02925,0.035747021081576534,0.03217379348274439,117,400,3273
15,False,True,40,0.001,0.025249999999999998,0.03414460809013828,0.215,0.038627759430310576,0.02525,0.030858539566147265,0.02777395847655713,101,400,3273
15,True,True,40,0.001,0.0365,0.046294876230151,0.2825,0.04874575781341911,0.0365,0.04460739382829209,0.04014849443145882,146,400,3273
