name,factors,regularization,precision@10,recall@10,hit_rate@10,ndcg@10,micro_f1@10,hits,type,iterations,explicit_false,positive_only,micro_precision@10,micro_recall@10,n_users,n_test
REFERENCE_factor40_reg005,40,0.005,0.04575,0.058228,0.3625,0.061265,0.050323,183,reference,,,,,,,
REFERENCE_factor80_reg005,80,0.005,0.04475,0.059236,0.335,0.063997,0.049223,179,reference,,,,,,,
A_small_factor_low_reg,20,0.001,0.0315,0.040893674179277896,0.245,0.04147673069944316,0.03464870067372473,126,new_experiment,15.0,True,True,0.0315,0.0384967919340055,400.0,3273.0
B_middle_factor,60,0.005,0.05125,0.06567330474019632,0.375,0.06806921758565537,0.056372886016774364,205,new_experiment,15.0,True,True,0.05125,0.06263366941643751,400.0,3273.0
C_factor80_reg0075,80,0.0075,0.04574999999999999,0.06023642265083744,0.3475,0.06439329557077877,0.05032311288326688,183,new_experiment,15.0,True,True,0.04575,0.05591200733272227,400.0,3273.0
D_factor80_reg01,80,0.01,0.0425,0.0577183575690735,0.3375,0.058677911867923344,0.04674824694073973,170,new_experiment,15.0,True,True,0.0425,0.05194011610143599,400.0,3273.0
E_factor100_reg01,100,0.01,0.04175000000000001,0.05276789973442451,0.31,0.05926778241981582,0.045923277877079616,167,new_experiment,15.0,True,True,0.04175,0.051023525817293004,400.0,3273.0
