iterations,factors,regularization,explicit_false,positive_only,precision@10,recall@10,hit_rate@10,ndcg@10,micro_precision@10,micro_recall@10,micro_f1@10,hits,n_users,n_test
15,40,0.005,True,True,0.04575,0.05822776253029735,0.3625,0.061265487731490896,0.04575,0.05591200733272227,0.05032311288326688,183,400,3273
15,40,0.01,True,True,0.042,0.05252238314660915,0.325,0.05864545979332781,0.042,0.051329055912007336,0.04619826756496632,168,400,3273
15,40,0.02,True,True,0.0315,0.040286989562724855,0.265,0.041802718407059195,0.0315,0.0384967919340055,0.03464870067372473,126,400,3273
